lon,lat,nu
100.2,3.4,0.013664
100.2,3.6,0.017187
100.2,3.8,0.023541
100.2,4,0.028418
100.2,4.2,0.029428
100.4,3.6,0.024009
100.4,3.8,0.034788
100.4,4,0.043167
100.6,3.6,0.028863
100.6,3.8,0.043096
60,23.2,0.004826
60,23.4,0.001714
60,23.6,0.000496
60,23.8,0.000147
60,24,0.000132
60,24.2,0.000339
60,24.4,0.000884
60,24.6,0.001836
60,24.8,0.00306
60,25,0.004147
60,25.2,0.004743
60,25.4,0.005167
60,25.6,0.006815
60,25.8,0.011653
60,26,0.020721
60,26.2,0.032685
60,26.4,0.044323
60,26.6,0.053597
60,26.8,0.061998
60,27,0.071849
60,27.2,0.080778
60.2,22.6,0.020614
60.2,22.8,0.014598
60.2,23,0.008268
60.2,23.2,0.003805
60.2,23.4,0.001472
60.2,23.6,0.00052
60.2,23.8,0.000237
60.2,24,0.000339
60.2,24.2,0.000935
60.2,24.4,0.002357
60.2,24.6,0.004845
60.2,24.8,0.008018
60.2,25,0.010772
60.2,25.2,0.01217
60.2,25.4,0.012949
60.2,25.6,0.016366
60.2,25.8,0.02673
60.2,26,0.045962
60.2,26.2,0.070442
60.2,26.4,0.092043
60.2,26.6,0.104751
60.2,26.8,0.110316
60.2,27,0.114616
60.2,27.2,0.118058
60.4,22.4,0.014167
60.4,22.6,0.012796
60.4,22.8,0.009368
60.4,23,0.005742
60.4,23.2,0.003124
60.4,23.4,0.001619
60.4,23.6,0.000852
60.4,23.8,0.000555
60.4,24,0.000822
60.4,24.2,0.002143
60.4,24.4,0.005313
60.4,24.6,0.010786
60.4,24.8,0.017677
60.4,25,0.02356
60.4,25.2,0.026349
60.4,25.4,0.027632
60.4,25.6,0.033903
60.4,25.8,0.053388
60.4,26,0.089199
60.4,26.2,0.133526
60.4,26.4,0.170068
60.4,26.6,0.186555
60.4,26.8,0.185487
60.4,27,0.178837
60.4,27.2,0.171937
60.4,27.4,0.158046
60.6,21.6,0.001747
60.6,21.8,0.00286
60.6,22,0.004671
60.6,22.2,0.006505
60.6,22.4,0.007477
60.6,22.6,0.007227
60.6,22.8,0.006174
60.6,23,0.004995
60.6,23.2,0.003962
60.6,23.4,0.002959
60.6,23.6,0.00198
60.6,23.8,0.001371
60.6,24,0.001738
60.6,24.2,0.004182
60.6,24.4,0.010128
