Longitude,Latitude,nu4_5,Observed Count,Smoothed Rate
62.4,29.2,0.0001,0,6.9e-05
62.4,29.4,0.0001,0,9.9e-05
62.4,29.6,0.0001,0,0.000112
62.4,29.8,0.0001,0,0.000101
62.4,30.0,0.0001,0,7.2e-05
62.4,30.2,0.0001,0,4e-05
62.6,29.0,0.0001,0,0.000145
62.6,29.2,0.0002,0,0.000262
62.6,29.4,0.0003,0,0.000375
62.6,29.6,0.0004,0,0.000424
62.6,29.8,0.0004,0,0.00038
62.6,30.0,0.0003,0,0.000269
62.6,30.2,0.0002,0,0.000151
62.6,30.4,0.0001,0,6.7e-05
62.8,28.8,0.0001,0,0.000202
62.8,29.0,0.0003,0,0.000461
62.8,29.2,0.0007,0,0.000831
62.8,29.4,0.0011,0,0.001186
62.8,29.6,0.0014,0,0.001339
62.8,29.8,0.0014,0,0.001196
62.8,30.0,0.0011,0,0.000846
62.8,30.2,0.0007,0,0.000473
62.8,30.4,0.0003,0,0.000209
62.8,30.6,0.0001,0,7.3e-05
63.0,28.6,0.0001,0,0.000188
63.0,28.8,0.0003,0,0.00054
63.0,29.0,0.0009,0,0.001227
63.0,29.2,0.0018,0,0.002209
63.0,29.4,0.0028,0,0.003146
63.0,29.6,0.0036,0,0.003545
63.0,29.8,0.0036,0,0.003161
63.0,30.0,0.0029,0,0.00223
63.0,30.2,0.0018,0,0.001245
63.0,30.4,0.0009,0,0.00055
63.0,30.6,0.0004,0,0.000192
63.0,30.8,0.0001,0,5.3e-05
63.2,28.4,0.0001,0,0.000116
63.2,28.6,0.0002,0,0.00042
63.2,28.8,0.0008,0,0.001204
63.2,29.0,0.002,0,0.002735
63.2,29.2,0.0039,0,0.004915
63.2,29.4,0.0063,0,0.006989
63.2,29.6,0.008,0,0.007863
63.2,29.8,0.008,0,0.007
63.2,30.0,0.0063,0,0.004931
63.2,30.2,0.004,0,0.002748
63.2,30.4,0.002,0,0.001212
63.2,30.6,0.0008,0,0.000423
63.2,30.8,0.0002,0,0.000117
63.2,31.0,0.0001,0,2.6e-05
63.4,28.4,0.0001,0,0.000216
63.4,28.6,0.0004,0,0.000784
63.4,28.8,0.0014,0,0.002248
63.4,29.0,0.0036,0,0.0051
63.4,29.2,0.0073,0,0.009155
63.4,29.4,0.0117,0,0.013002
63.4,29.6,0.0148,0,0.01461
63.4,29.8,0.0148,0,0.012991
63.4,30.0,0.0117,0,0.00914
63.4,30.2,0.0073,0,0.005088
63.4,30.4,0.0036,0,0.002241
63.4,30.6,0.0014,0,0.000781
63.4,30.8,0.0004,0,0.000215
63.4,31.0,0.0001,0,4.7e-05
63.6,28.4,0.0002,0,0.000339
63.6,28.6,0.0007,0,0.001226
63.6,28.8,0.0022,0,0.003512
63.6,29.0,0.0057,0,0.00796
63.6,29.2,0.0114,0,0.014275
63.6,29.4,0.0182,0,0.020256
63.6,29.6,0.023,0,0.022743
63.6,29.8,0.023,0,0.020204
63.6,30.0,0.0182,0,0.014202
63.6,30.2,0.0114,0,0.007899
63.6,30.4,0.0056,0,0.003476
63.6,30.6,0.0022,0,0.00121
63.6,30.8,0.0007,0,0.000334
63.6,31.0,0.0002,0,7.3e-05
63.8,28.4,0.0002,0,0.000443
63.8,28.6,0.0009,0,0.001603
63.8,28.8,0.0029,0,0.00459
63.8,29.0,0.0074,0,0.010397
63.8,29.2,0.0149,0,0.018636
63.8,29.4,0.0238,0,0.02643
63.8,29.6,0.03,0,0.029659
63.8,29.8,0.03,0,0.026334
63.8,30.0,0.0237,0,0.018501
63.8,30.2,0.0148,0,0.010285
63.8,30.4,0.0073,0,0.004524
63.8,30.6,0.0029,0,0.001574
63.8,30.8,0.0009,0,0.000434
63.8,31.0,0.0002,0,9.4e-05
64.0,28.4,0.0002,0,0.000485
64.0,28.6,0.001,0,0.001753
64.0,28.8,0.0032,0,0.005018
64.0,29.0,0.0081,0,0.011365
64.0,29.2,0.0163,0,0.020368
64.0,29.4,0.026,0,0.028881
64.0,29.6,0.0328,1,0.032403
64.0,29.8,0.0327,0,0.028766
64.0,30.0,0.0258,0,0.020206
64.0,30.2,0.0161,0,0.011231
64.0,30.4,0.008,0,0.004939
64.0,30.6,0.0031,0,0.001719
64.0,30.8,0.001,0,0.000473
64.0,31.0,0.0002,0,0.000103
64.2,28.4,0.0002,0,0.000443
64.2,28.6,0.0009,0,0.001603
64.2,28.8,0.0029,0,0.00459
64.2,29.0,0.0074,0,0.010397
64.2,29.2,0.0149,0,0.018636
64.2,29.4,0.0238,0,0.02643
64.2,29.6,0.03,0,0.029659
64.2,29.8,0.03,0,0.026334
64.2,30.0,0.0237,0,0.018501
64.2,30.2,0.0148,0,0.010285
64.2,30.4,0.0073,0,0.004524
64.2,30.6,0.0029,0,0.001574
64.2,30.8,0.0009,0,0.000434
64.2,31.0,0.0002,0,9.4e-05
64.4,28.4,0.0002,0,0.000339
64.4,28.6,0.0007,0,0.001226
64.4,28.8,0.0022,0,0.003512
64.4,29.0,0.0057,0,0.00796
64.4,29.2,0.0114,0,0.014275
64.4,29.4,0.0182,0,0.020256
64.4,29.6,0.023,0,0.022743
64.4,29.8,0.023,0,0.020204
64.4,30.0,0.0182,0,0.014202
