Longitude,Latitude,nu5_5,Observed Count,Smoothed Rate
100.2,3.4,0.0034,0,0.009385
100.2,3.6,0.0054,0,0.014202
100.2,3.8,0.0076,0,0.019379
100.2,4.0,0.0093,0,0.023355
100.2,4.2,0.01,1,0.024682
100.4,3.6,0.0041,0,0.012945
100.4,3.8,0.0057,0,0.017973
100.4,4.0,0.007,0,0.021884
100.6,3.6,0.003,0,0.011174
100.6,3.8,0.0042,0,0.015633
60.0,26.0,0.0001,0,0.00011
60.0,26.2,0.0001,0,0.000296
60.0,26.4,0.0004,0,0.000752
60.0,26.6,0.0009,0,0.001745
60.0,26.8,0.0018,0,0.003611
60.0,27.0,0.0033,0,0.006593
60.0,27.2,0.0053,0,0.010556
60.2,26.0,0.0001,0,0.000174
60.2,26.2,0.0002,0,0.000384
60.2,26.4,0.0004,0,0.000852
60.2,26.6,0.0008,0,0.001827
60.2,26.8,0.0015,0,0.003615
60.2,27.0,0.0026,0,0.006441
60.2,27.2,0.0041,0,0.010177
60.4,25.8,0.0001,0,0.000188
60.4,26.0,0.0001,0,0.000339
60.4,26.2,0.0002,0,0.000606
60.4,26.4,0.0004,0,0.001101
60.4,26.6,0.0007,0,0.00201
60.4,26.8,0.0013,0,0.003578
60.4,27.0,0.0021,0,0.005979
60.4,27.2,0.0032,0,0.009105
60.4,27.4,0.0043,0,0.012397
60.6,25.6,0.0001,0,0.00024
60.6,25.8,0.0002,0,0.000435
60.6,26.0,0.0003,0,0.000729
60.6,26.2,0.0004,0,0.001145
60.6,26.4,0.0006,0,0.001739
60.6,26.6,0.0009,0,0.002615
60.6,26.8,0.0013,0,0.003912
60.6,27.0,0.0019,0,0.005733
60.6,27.2,0.0026,0,0.007994
60.6,27.4,0.0033,0,0.0103
60.6,27.6,0.0038,0,0.011998
60.8,25.4,0.0001,0,0.000269
60.8,25.6,0.0002,0,0.000532
60.8,25.8,0.0003,0,0.000951
60.8,26.0,0.0006,0,0.001532
60.8,26.2,0.0008,0,0.002267
60.8,26.4,0.0012,0,0.003127
60.8,26.6,0.0015,0,0.004096
60.8,26.8,0.0018,0,0.00518
60.8,27.0,0.0021,0,0.006388
60.8,27.2,0.0024,0,0.007664
60.8,27.4,0.0027,0,0.008806
60.8,27.6,0.0028,0,0.009476
60.8,27.8,0.0028,0,0.009341
61.0,25.2,0.0001,0,0.000247
61.0,25.4,0.0002,0,0.000546
61.0,25.6,0.0004,0,0.001071
61.0,25.8,0.0007,0,0.001888
61.0,26.0,0.0011,0,0.002987
61.0,26.2,0.0016,0,0.004298
61.0,26.4,0.0021,0,0.005676
61.0,26.6,0.0025,0,0.006947
61.0,26.8,0.0028,0,0.007955
61.0,27.0,0.0029,0,0.008604
61.0,27.2,0.0028,0,0.008865
61.0,27.4,0.0027,0,0.008741
61.0,27.6,0.0025,0,0.008221
61.0,27.8,0.0022,0,0.00729
61.2,25.0,0.0001,0,0.000181
61.2,25.2,0.0001,0,0.000451
61.2,25.4,0.0003,0,0.000992
61.2,25.6,0.0007,0,0.001939
61.2,25.8,0.0012,0,0.003378
61.2,26.0,0.0019,0,0.005285
61.2,26.2,0.0028,0,0.007488
61.2,26.4,0.0036,0,0.009684
61.2,26.6,0.0042,0,0.011503
61.2,26.8,0.0044,0,0.012605
61.2,27.0,0.0043,0,0.012784
61.2,27.2,0.004,0,0.012042
61.2,27.4,0.0034,0,0.010581
61.2,27.6,0.0027,0,0.008715
61.2,27.8,0.0021,0,0.006747
61.4,25.0,0.0001,0,0.000296
61.4,25.2,0.0002,0,0.000737
61.4,25.4,0.0005,0,0.001618
61.4,25.6,0.0011,0,0.003142
61.4,25.8,0.002,0,0.005433
61.4,26.0,0.0031,0,0.008428
61.4,26.2,0.0045,0,0.011818
61.4,26.4,0.0057,0,0.015098
61.4,26.6,0.0065,0,0.017677
61.4,26.8,0.0068,0,0.019029
61.4,27.0,0.0065,0,0.018844
61.4,27.2,0.0057,0,0.01715
61.4,27.4,0.0047,0,0.014329
61.4,27.6,0.0036,0,0.010995
61.4,27.8,0.0025,0,0.007763
61.6,25.0,0.0001,0,0.000435
61.6,25.2,0.0003,0,0.00108
61.6,25.4,0.0008,0,0.002362
61.6,25.6,0.0016,0,0.004566
61.6,25.8,0.0029,0,0.007849
61.6,26.0,0.0046,0,0.012086
61.6,26.2,0.0065,0,0.016816
61.6,26.4,0.0082,0,0.021304
61.6,26.6,0.0094,0,0.02475
61.6,26.8,0.0097,0,0.026466
61.6,27.0,0.0092,0,0.026055
61.6,27.2,0.008,0,0.023556
61.6,27.4,0.0064,0,0.019481
61.6,27.6,0.0048,0,0.014682
61.6,27.8,0.0034,0,0.010057
61.6,28.0,0.0022,0,0.006253
61.8,24.8,0.0001,0,0.000203
61.8,25.0,0.0002,0,0.000572
61.8,25.2,0.0005,0,0.001416
61.8,25.4,0.0011,0,0.003091
61.8,25.6,0.0022,0,0.00595
61.8,25.8,0.0039,0,0.010178
61.8,26.0,0.0061,0,0.015583
61.8,26.2,0.0085,0,0.021542
61.8,26.4,0.0107,0,0.027135
61.8,26.6,0.0121,0,0.031397
61.8,26.8,0.0125,0,0.03354
61.8,27.0,0.0118,0,0.033108
61.8,27.2,0.0103,0,0.030112
61.8,27.4,0.0083,0,0.025097
61.8,27.6,0.0063,0,0.019054
61.8,27.8,0.0044,0,0.013104
61.8,28.0,0.0028,0,0.008126
62.0,24.8,0.0001,0,0.000239
62.0,25.0,0.0002,0,0.000674
62.0,25.2,0.0006,0,0.001667
62.0,25.4,0.0013,0,0.003623
62.0,25.6,0.0026,0,0.006952
62.0,25.8,0.0046,0,0.011846
62.0,26.0,0.0072,0,0.018053
62.0,26.2,0.0101,0,0.02484
62.0,26.4,0.0126,0,0.031181
62.0,26.6,0.0142,0,0.036048
62.0,26.8,0.0146,0,0.038632
62.0,27.0,0.0137,1,0.038445
62.0,27.2,0.0121,0,0.035414
62.0,27.4,0.0099,0,0.029996
62.0,27.6,0.0076,0,0.023176
62.0,27.8,0.0054,0,0.016212
62.0,28.0,0.0035,0,0.0102
62.0,28.2,0.0021,0,0.005745
62.2,24.8,0.0001,0,0.000258
62.2,25.0,0.0002,0,0.00071
62.2,25.2,0.0006,0,0.001754
62.2,25.4,0.0014,0,0.003805
62.2,25.6,0.0028,0,0.007284
62.2,25.8,0.0049,0,0.012373
62.2,26.0,0.0077,0,0.018794
62.2,26.2,0.0108,0,0.025788
62.2,26.4,0.0134,1,0.032337
62.2,26.6,0.015,0,0.037472
62.2,26.8,0.0154,0,0.040455
62.2,27.0,0.0146,0,0.040776
62.2,27.2,0.0129,0,0.038223
62.2,27.4,0.0108,0,0.033046
62.2,27.6,0.0084,0,0.02609
62.2,27.8,0.0061,0,0.018634
62.2,28.0,0.0041,0,0.011948
62.2,28.2,0.0024,0,0.006839
62.2,28.4,0.0013,0,0.003491
62.2,29.4,0.0001,0,0.000542
62.2,29.6,0.0001,0,0.000653
62.2,29.8,0.0001,0,0.000698
62.2,30.0,0.0001,0,0.000655
62.2,30.2,0.0001,0,0.000536
62.2,30.4,0.0001,0,0.000382
62.4,24.8,0.0001,0,0.000255
62.4,25.0,0.0002,0,0.000676
62.4,25.2,0.0006,0,0.001656
62.4,25.4,0.0013,0,0.003581
62.4,25.6,0.0027,0,0.006843
62.4,25.8,0.0048,0,0.011599
62.4,26.0,0.0074,0,0.017585
62.4,26.2,0.0103,0,0.024111
62.4,26.4,0.0128,0,0.030288
62.4,26.6,0.0143,0,0.035312
62.4,26.8,0.0147,0,0.038565
62.4,27.0,0.014,0,0.039543
62.4,27.2,0.0125,0,0.03786
62.4,27.4,0.0106,0,0.033495
62.4,27.6,0.0085,0,0.027055
62.4,27.8,0.0063,0,0.019734
62.4,28.0,0.0042,0,0.012892
62.4,28.2,0.0026,0,0.007502
62.4,28.4,0.0014,0,0.003898
62.4,28.6,0.0007,0,0.00187
62.4,28.8,0.0003,0,0.000962
62.4,29.0,0.0002,0,0.000742
62.4,29.2,0.0002,0,0.000884
62.4,29.4,0.0002,0,0.001162
62.4,29.6,0.0002,0,0.001413
62.4,29.8,0.0003,0,0.001513
62.4,30.0,0.0003,0,0.001417
62.4,30.2,0.0002,0,0.001157
62.4,30.4,0.0002,0,0.000824
62.4,30.6,0.0001,0,0.000512
62.6,23.2,0.0001,0,0.00038
62.6,23.4,0.0001,0,0.000469
62.6,23.6,0.0001,0,0.000504
62.6,23.8,0.0001,0,0.000473
62.6,24.0,0.0001,0,0.000387
62.6,24.8,0.0001,0,0.000245
62.6,25.0,0.0002,0,0.000583
62.6,25.2,0.0005,0,0.001402
62.6,25.4,0.0012,0,0.00302
62.6,25.6,0.0023,0,0.005764
62.6,25.8,0.0041,0,0.00976
62.6,26.0,0.0064,0,0.014792
62.6,26.2,0.0089,0,0.020312
62.6,26.4,0.011,0,0.025643
62.6,26.6,0.0123,0,0.0302
62.6,26.8,0.0127,0,0.033517
62.6,27.0,0.0122,0,0.0351
62.6,27.2,0.0111,0,0.03442
62.6,27.4,0.0096,1,0.031196
62.6,27.6,0.0078,0,0.025769
62.6,27.8,0.0059,0,0.019172
62.6,28.0,0.004,0,0.012737
62.6,28.2,0.0025,0,0.007527
62.6,28.4,0.0014,0,0.003994
62.6,28.6,0.0007,0,0.002028
62.6,28.8,0.0004,0,0.001243
62.6,29.0,0.0003,0,0.001233
62.6,29.2,0.0003,0,0.001666
62.6,29.4,0.0004,0,0.002261
62.6,29.6,0.0005,0,0.002761
62.6,29.8,0.0006,0,0.002956
62.6,30.0,0.0006,0,0.002765
62.6,30.2,0.0005,0,0.002256
62.6,30.4,0.0004,0,0.001605
62.6,30.6,0.0002,0,0.000995
62.6,30.8,0.0001,0,0.000539
62.6,31.0,0.0001,0,0.000254
62.8,22.8,0.0001,0,0.000395
62.8,23.0,0.0001,0,0.00064
62.8,23.2,0.0002,0,0.000903
62.8,23.4,0.0002,0,0.001112
62.8,23.6,0.0002,0,0.001194
62.8,23.8,0.0002,0,0.001118
62.8,24.0,0.0002,0,0.000913
62.8,24.2,0.0001,0,0.000653
62.8,24.4,0.0001,0,0.000417
62.8,24.6,0.0001,0,0.000266
62.8,24.8,0.0001,0,0.000253
62.8,25.0,0.0002,0,0.00047
62.8,25.2,0.0004,0,0.00107
62.8,25.4,0.0009,0,0.002286
62.8,25.6,0.0018,0,0.004353
62.8,25.8,0.0032,0,0.007372
62.8,26.0,0.005,0,0.01119
62.8,26.2,0.0069,0,0.015428
62.8,26.4,0.0085,0,0.019644
62.8,26.6,0.0095,0,0.023473
62.8,26.8,0.0099,0,0.026591
62.8,27.0,0.0096,0,0.028539
62.8,27.2,0.0089,0,0.028714
