longitude,latitude,mmin,duration,lambda,nu,zoneid,tectonic subregion,a,b,mmax,nearest,name,id
60.0,26.0,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1308.08332919,26N 60E 70-180 km depth,26N60Ez935
60.0,26.2,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1292.87489342,26.2N 60E 70-180 km depth,26p2N60Ez935
60.0,26.4,5.5,95,1.68442031836e-05,0.00160019930244,935,subduction intraslab Himalayas,1.11145047147,1.07,7.2,1277.83963194,26.4N 60E 70-180 km depth,26p4N60Ez935
60.0,26.6,5.5,95,3.78994571631e-05,0.00360044843049,935,subduction intraslab Himalayas,1.46363298958,1.07,7.2,1262.98456877,26.6N 60E 70-180 km depth,26p6N60Ez935
60.0,26.8,5.5,95,7.57989143262e-05,0.00720089686099,935,subduction intraslab Himalayas,1.76466298524,1.07,7.2,1248.31696879,26.8N 60E 70-180 km depth,26p8N60Ez935
60.0,27.0,5.5,95,0.000138964676265,0.0132016442451,935,subduction intraslab Himalayas,2.02790442002,1.07,7.2,1233.84434148,27N 60E 70-180 km depth,27N60Ez935
60.0,27.2,5.5,95,0.000223185692183,0.0212026407573,153,subduction intraslab Himalayas,2.39866634974,1.1,7.9,1218.78671407,27.2N 60E 70-180 km depth,27p2N60Ez153
60.2,26.0,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1294.76746984,26N 60.2E 70-180 km depth,26N60p2Ez935
60.2,26.2,5.5,95,8.4221015918e-06,0.000800099651221,935,subduction intraslab Himalayas,0.810420475803,1.07,7.2,1279.41059739,26.2N 60.2E 70-180 km depth,26p2N60p2Ez935
60.2,26.4,5.5,95,1.68442031836e-05,0.00160019930244,935,subduction intraslab Himalayas,1.11145047147,1.07,7.2,1264.22565443,26.4N 60.2E 70-180 km depth,26p4N60p2Ez935
60.2,26.6,5.5,95,3.36884063672e-05,0.00320039860488,935,subduction intraslab Himalayas,1.41248046713,1.07,7.2,1249.21975817,26.6N 60.2E 70-180 km depth,26p6N60p2Ez935
60.2,26.8,5.5,95,6.31657619385e-05,0.00600074738416,935,subduction intraslab Himalayas,1.68548173919,1.07,7.2,1234.40027839,26.8N 60.2E 70-180 km depth,26p8N60p2Ez935
60.2,27.0,5.5,95,0.000109487320693,0.0104012954659,935,subduction intraslab Himalayas,1.92436382811,1.07,7.2,1219.77484194,27N 60.2E 70-180 km depth,27N60p2Ez935
60.2,27.2,5.5,95,0.000172653082632,0.01640204285,935,subduction intraslab Himalayas,2.12217433686,1.07,7.2,1205.35133639,27.2N 60.2E 70-180 km depth,27p2N60p2Ez935
60.4,25.8,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1297.2408756,25.8N 60.4E 70-180 km depth,25p8N60p4Ez935
60.4,26.0,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1281.57001946,26N 60.4E 70-180 km depth,26N60p4Ez935
60.4,26.2,5.5,95,8.4221015918e-06,0.000800099651221,935,subduction intraslab Himalayas,0.810420475803,1.07,7.2,1266.06276672,26.2N 60.4E 70-180 km depth,26p2N60p4Ez935
60.4,26.4,5.5,95,1.68442031836e-05,0.00160019930244,935,subduction intraslab Himalayas,1.11145047147,1.07,7.2,1250.72606558,26.4N 60.4E 70-180 km depth,26p4N60p4Ez935
60.4,26.6,5.5,95,2.94773555713e-05,0.00280034877927,935,subduction intraslab Himalayas,1.35448852015,1.07,7.2,1235.56712288,26.6N 60.4E 70-180 km depth,26p6N60p4Ez935
60.4,26.8,5.5,95,5.47436603467e-05,0.00520064773293,935,subduction intraslab Himalayas,1.62333383245,1.07,7.2,1220.59341006,26.8N 60.4E 70-180 km depth,26p8N60p4Ez935
60.4,27.0,5.5,95,8.84320667139e-05,0.00840104633782,935,subduction intraslab Himalayas,1.83160977487,1.07,7.2,1205.81266848,27N 60.4E 70-180 km depth,27N60p4Ez935
60.4,27.2,5.5,95,0.000134753625469,0.0128015944195,935,subduction intraslab Himalayas,2.01454045846,1.07,7.2,1191.23291404,27.2N 60.4E 70-180 km depth,27p2N60p4Ez935
60.4,27.4,5.5,95,0.000181075184224,0.0172021425012,935,subduction intraslab Himalayas,2.14285893572,1.07,7.2,1176.86244096,27.4N 60.4E 70-180 km depth,27p4N60p4Ez935
60.6,25.6,5.5,95,4.2110507959e-06,0.00040004982561,935,subduction intraslab Himalayas,0.509390480139,1.07,7.2,1300.29378439,25.6N 60.6E 70-180 km depth,25p6N60p6Ez935
60.6,25.8,5.5,95,8.4221015918e-06,0.000800099651221,935,subduction intraslab Himalayas,0.810420475803,1.07,7.2,1284.31697505,25.8N 60.6E 70-180 km depth,25p8N60p6Ez935
60.6,26.0,5.5,95,1.26331523877e-05,0.00120014947683,935,subduction intraslab Himalayas,0.986511734859,1.07,7.2,1268.4954192,26N 60.6E 70-180 km depth,26N60p6Ez935
